iter	Passed	Remaining
402	12575	18628
403	12608	18600
404	12639	18568
405	12670	18537
406	12702	18507
407	12729	18470
408	12759	18437
409	12793	18410
410	12824	18378
411	12853	18344
412	12884	18312
413	12914	18280
414	12946	18249
415	12978	18220
416	13007	18185
417	13038	18154
418	13069	18122
419	13100	18091
420	13148	18083
421	13185	18059
422	13219	18032
423	13260	18014
424	13299	17993
425	13332	17964
426	13370	17942
427	13419	17934
428	13465	17922
429	13511	17910
430	13564	17907
431	13622	17910
432	13668	17898
433	13710	17880
434	13745	17853
435	13779	17825
436	13813	17795
437	13848	17768
438	13897	17759
439	13952	17757
440	13999	17745
441	14050	17738
442	14106	17736
443	14188	17767
444	14261	17786
445	14364	17842
446	14439	17863
447	14495	17861
448	14539	17842
449	14592	17835
450	14636	17816
451	14671	17787
452	14702	17753
453	14733	17718
454	14764	17685
455	14796	17652
456	14828	17618
457	14853	17577
458	14885	17544
459	14917	17511
460	14946	17475
461	14976	17439
462	15010	17409
463	15046	17380
464	15085	17356
465	15123	17330
466	15177	17322
467	15212	17293
468	15244	17259
469	15275	17225
470	15313	17199
471	15346	17167
472	15387	17143
473	15414	17105
474	15452	17079
475	15482	17044
476	15515	17011
477	15548	16980
478	15592	16959
479	15648	16952
480	15685	16924
481	15716	16890
482	15751	16860
483	15787	16831
484	15824	16803
485	15862	16776
486	15897	16746
487	15931	16714
488	15971	16690
489	16020	16674
490	16072	16661
491	16125	16649
492	16203	16663
493	16257	16652
494	16317	16647
495	16361	16624
496	16424	16623
497	16490	16622
498	16552	16618
499	16620	16620
500	16666	16600
501	16702	16569
502	16745	16545
503	16787	16521
504	16823	16490
505	16861	16461
506	16954	16486
507	17020	16484
508	17064	16460
509	17125	16453
510	17183	16443
511	17247	16439
512	17285	16409
513	17330	16386
514	17368	16356
515	17409	16329
516	17440	16293
517	17483	16268
518	17539	16255
519	17600	16246
520	17651	16228
521	17702	16210
522	17747	16186
523	17792	16162
524	17835	16137
525	17883	16115
526	17929	16092
527	17999	16090
528	18047	16068
529	18091	16043
530	18136	16018
531	18177	15991
532	18240	15981
533	18287	15958
534	18324	15926
535	18371	15903
536	18416	15878
537	18459	15851
538	18498	15821
539	18538	15791
540	18576	15761
541	18619	15733
542	18661	15705
543	18707	15681
544	18751	15654
545	18793	15626
546	18831	15595
547	18875	15568
548	18917	15540
549	18958	15511
550	18994	15478
551	19036	15449
552	19084	15426
553	19129	15400
554	19168	15369
555	19211	15341
556	19323	15368
557	19375	15347
558	19423	15323
559	19469	15297
560	19523	15277
561	19570	15252
562	19613	15223
563	19664	15201
564	19710	15175
565	19760	15151
566	19805	15124
567	19844	15092
568	19881	15059
569	19916	15025
570	19954	14992
571	19993	14960
572	20050	14942
573	20092	14911
574	20128	14877
575	20164	14843
576	20202	14810
577	20238	14776
578	20293	14755
579	20330	14722
580	20369	14689
581	20409	14658
582	20441	14621
583	20480	14589
584	20516	14554
585	20550	14518
586	20590	14486
587	20635	14458
588	20670	14423
589	20707	14389
590	20743	14355
591	20777	14319
592	20809	14282
593	20844	14247
594	20886	14216
595	20918	14179
596	20951	14143
597	21003	14119
598	21041	14085
599	21080	14053
600	21113	14017
601	21150	13983
602	21188	13949
603	21219	13912
604	21253	13876
605	21284	13838
606	21345	13819
607	21377	13782
608	21410	13746
609	21447	13712
610	21484	13678
611	21521	13644
612	21557	13609
613	21594	13575
614	21630	13540
615	21670	13509
616	21709	13475
617	21749	13443
618	21788	13411
619	21819	13373
620	21854	13338
621	21894	13305
622	21930	13270
623	21966	13236
624	22030	13218
625	22073	13187
626	22112	13154
627	22154	13123
628	22192	13089
629	22227	13054
630	22265	13020
631	22305	12987
632	22361	12964
633	22398	12930
634	22432	12894
635	22465	12857
636	22502	12823
637	22541	12789
638	22575	12753
639	22611	12718
640	22650	12685
641	22687	12651
642	22725	12617
643	22760	12581
644	22800	12549
645	22834	12513
646	22873	12479
647	22908	12444
648	22960	12417
649	22998	12383
650	23036	12349
651	23073	12315
652	23112	12281
653	23146	12245
654	23180	12209
655	23214	12173
656	23252	12139
657	23292	12106
658	23331	12072
659	23384	12046
660	23416	12009
661	23453	11974
662	23495	11942
663	23535	11909
664	23566	11871
665	23603	11837
666	23633	11799
667	23670	11764
668	23709	11730
669	23744	11695
670	23784	11661
671	23818	11625
672	23853	11590
673	23888	11554
674	23924	11519
675	23975	11490
676	24012	11456
677	24051	11422
678	24090	11388
679	24119	11350
680	24166	11320
681	24214	11290
682	24256	11258
683	24310	11231
684	24375	11209
685	24428	11181
686	24468	11148
687	24507	11113
688	24551	11081
689	24590	11047
690	24628	11013
691	24668	10979
692	24706	10944
693	24745	10910
694	24794	10880
695	24836	10848
696	24880	10816
697	24923	10783
698	24983	10758
699	25021	10723
700	25058	10688
701	25092	10651
702	25135	10618
703	25172	10583
704	25209	10548
705	25243	10512
706	25282	10477
707	25321	10443
708	25361	10409
709	25420	10382
710	25458	10348
711	25493	10312
712	25527	10275
713	25566	10240
714	25603	10205
715	25637	10168
716	25671	10132
717	25712	10098
718	25748	10063
719	25793	10030
720	25830	9995
721	25870	9961
722	25919	9930
723	25956	9895
724	25991	9858
725	26028	9823
726	26065	9788
727	26105	9753
728	26142	9718
729	26180	9683
730	26218	9648
731	26253	9612
732	26291	9576
733	26327	9541
734	26358	9503
735	26389	9465
736	26455	9440
737	26496	9406
738	26527	9368
739	26564	9333
740	26604	9298
741	26641	9263
742	26677	9227
743	26709	9190
744	26747	9155
745	26781	9118
746	26822	9084
747	26864	9050
748	26907	9017
749	26947	8982
750	26982	8946
751	27018	8910
752	27054	8874
753	27087	8837
754	27132	8804
755	27165	8767
756	27200	8731
757	27236	8695
758	27276	8660
759	27309	8624
760	27347	8588
761	27387	8554
762	27424	8518
763	27484	8489
764	27531	8457
765	27571	8422
766	27610	8387
767	27645	8351
768	27683	8315
769	27720	8280
770	27757	8244
771	27803	8211
772	27861	8181
773	27900	8146
774	27934	8109
775	27973	8074
776	28008	8038
777	28046	8003
778	28084	7967
779	28125	7932
780	28160	7896
781	28198	7860
782	28233	7824
783	28270	7788
784	28310	7753
785	28344	7717
786	28384	7682
787	28420	7646
788	28458	7610
789	28524	7582
790	28570	7548
791	28609	7513
792	28645	7477
793	28687	7442
794	28724	7406
795	28767	7372
796	28815	7339
797	28853	7303
798	28892	7268
799	28928	7232
800	28962	7195
801	28998	7159
802	29033	7122
803	29067	7086
804	29096	7048
805	29128	7011
806	29186	6980
807	29236	6947
808	29290	6915
809	29340	6882
810	29383	6847
811	29429	6813
812	29472	6778
813	29575	6758
814	29613	6722
815	29646	6684
816	29682	6648
817	29718	6612
818	29765	6578
819	29807	6543
820	29839	6505
821	29875	6469
822	29909	6432
823	29950	6397
824	29990	6361
825	30030	6326
826	30068	6289
827	30101	6253
828	30141	6217
829	30177	6180
830	30213	6144
831	30251	6108
832	30288	6072
833	30325	6036
834	30360	5999
835	30395	5962
836	30432	5926
837	30468	5890
838	30505	5853
839	30541	5817
840	30611	5787
841	30646	5750
842	30684	5714
843	30717	5677
844	30763	5643
845	30825	5611
846	30861	5574
847	30894	5537
848	30935	5502
849	30971	5465
850	31008	5429
851	31039	5391
852	31083	5356
853	31121	5320
854	31162	5284
855	31203	5249
856	31234	5211
857	31272	5175
858	31310	5139
859	31348	5103
860	31386	5067
861	31424	5030
862	31459	4994
863	31495	4957
864	31535	4921
865	31573	4885
866	31641	4853
867	31678	4817
868	31714	4780
869	31754	4744
870	31805	4710
871	31853	4675
872	31891	4639
873	31932	4603
874	31966	4566
875	32000	4529
876	32028	4491
877	32068	4456
878	32103	4419
879	32145	4383
880	32183	4347
881	32221	4310
882	32256	4274
883	32291	4237
884	32331	4201
885	32369	4164
886	32408	4128
887	32443	4091
888	32485	4056
889	32525	4020
890	32562	3983
891	32605	3947
892	32674	3915
893	32709	3878
894	32767	3844
895	32818	3809
896	32855	3772
897	32890	3735
898	32927	3699
899	32962	3662
900	33000	3626
901	33036	3589
902	33071	3552
903	33105	3515
904	33141	3478
905	33178	3442
906	33216	3405
907	33256	3369
908	33289	3332
909	33325	3295
910	33358	3258
911	33396	3222
912	33429	3185
913	33467	3149
914	33504	3112
915	33539	3075
916	33581	3039
917	33616	3002
918	33651	2965
919	33718	2932
920	33764	2896
921	33798	2859
922	33832	2822
923	33864	2785
924	33900	2748
925	33938	2712
926	33978	2675
927	34007	2638
928	34045	2601
929	34085	2565
930	34115	2528
931	34173	2493
932	34222	2457
933	34277	2422
934	34326	2386
935	34373	2350
936	34416	2314
937	34459	2277
938	34509	2241
939	34549	2205
940	34587	2168
941	34634	2132
942	34675	2095
943	34741	2060
944	34808	2025
945	34850	1989
946	34898	1953
947	34945	1916
948	34995	1880
949	35053	1844
950	35103	1808
951	35197	1774
952	35243	1738
953	35290	1701
954	35345	1665
955	35394	1629
956	35445	1592
957	35495	1556
958	35540	1519
959	35575	1482
960	35616	1445
961	35655	1408
962	35692	1371
963	35729	1334
964	35804	1298
965	35856	1262
966	35920	1225
967	35955	1188
968	35992	1151
969	36028	1114
970	36067	1077
971	36108	1040
972	36143	1002
973	36184	965
974	36225	928
975	36267	891
976	36309	854
977	36350	817
978	36388	780
979	36423	743
980	36465	706
981	36505	669
982	36540	631
983	36584	594
984	36619	557
985	36658	520
986	36696	483
987	36738	446
988	36776	409
989	36833	372
990	36900	335
991	36944	297
992	36986	260
993	37023	223
994	37061	186
995	37102	149
996	37139	111
997	37178	74
998	37216	37
999	37254	0
