iter	Passed	Remaining
491	34863	35996
492	34932	35924
493	35017	35868
494	35091	35799
495	35187	35755
496	35254	35679
497	35337	35620
498	35411	35553
499	35483	35483
500	35563	35421
501	35638	35354
502	35741	35314
503	35817	35248
504	35909	35198
505	35981	35128
506	36065	35069
507	36138	35000
508	36221	34940
509	36298	34875
510	36380	34813
511	36462	34753
512	36530	34679
513	36620	34625
514	36703	34565
515	36809	34527
516	36885	34459
517	36967	34397
518	37038	34326
519	37109	34254
520	37198	34199
521	37271	34130
522	37359	34073
523	37423	33995
524	37513	33940
525	37586	33871
526	37666	33806
527	37771	33765
528	37854	33703
529	37931	33637
530	38014	33576
531	38097	33514
532	38175	33448
533	38262	33390
534	38340	33323
535	38430	33268
536	38499	33194
537	38601	33148
538	38670	33074
539	38752	33011
540	38864	32973
541	38947	32911
542	39022	32842
543	39101	32776
544	39181	32711
545	39258	32643
546	39351	32588
547	39419	32514
548	39507	32455
549	39577	32381
550	39659	32317
551	39735	32249
552	39814	32182
553	39916	32135
554	39990	32064
555	40063	31992
556	40143	31927
557	40222	31860
558	40304	31796
559	40387	31732
560	40462	31663
561	40555	31607
562	40630	31537
563	40712	31473
564	40794	31408
565	40898	31360
566	40973	31290
567	41057	31226
568	41136	31159
569	41212	31090
570	41300	31029
571	41366	30952
572	41450	30888
573	41519	30814
574	41603	30750
575	41675	30677
576	41752	30608
577	41824	30536
578	41937	30493
579	41999	30413
580	42070	30339
581	42152	30274
582	42225	30202
583	42312	30140
584	42385	30068
585	42467	30002
586	42537	29928
587	42616	29860
588	42686	29786
589	42764	29717
590	42843	29649
591	42913	29575
592	43013	29521
593	43081	29446
594	43166	29382
595	43238	29309
596	43313	29238
597	43384	29164
598	43456	29091
599	43533	29022
600	43615	28956
601	43693	28886
602	43767	28815
603	43857	28754
604	43925	28678
605	44030	28626
606	44096	28550
607	44179	28484
608	44260	28417
609	44334	28345
610	44409	28273
611	44500	28212
612	44584	28147
613	44651	28071
614	44742	28009
615	44808	27932
616	44897	27869
617	44969	27796
618	45078	27746
619	45149	27672
620	45233	27606
621	45313	27537
622	45385	27464
623	45471	27399
624	45541	27325
625	45629	27260
626	45701	27187
627	45784	27120
628	45862	27051
629	45951	26987
630	46027	26916
631	46182	26890
632	46259	26820
633	46338	26750
634	46424	26684
635	46488	26606
636	46578	26542
637	46642	26464
638	46739	26405
639	46798	26323
640	46887	26259
641	46957	26185
642	47035	26114
643	47138	26058
644	47232	25996
645	47317	25929
646	47379	25850
647	47470	25786
648	47529	25705
649	47621	25642
650	47696	25569
651	47771	25497
652	47852	25428
653	47944	25364
654	48018	25292
655	48092	25219
656	48208	25168
657	48295	25101
658	48370	25029
659	48460	24964
660	48524	24886
661	48602	24815
662	48677	24742
663	48755	24671
664	48841	24604
665	48925	24536
666	49004	24465
667	49070	24388
668	49165	24325
669	49273	24268
670	49362	24202
671	49439	24131
672	49533	24067
673	49601	23991
674	49672	23916
675	49751	23845
676	49827	23772
677	49900	23699
678	49970	23623
679	50053	23554
680	50123	23479
681	50223	23418
682	50336	23362
683	50427	23296
684	50506	23225
685	50581	23152
686	50677	23088
687	50752	23015
688	50828	22943
689	50903	22869
690	50990	22802
691	51059	22725
692	51157	22662
693	51234	22590
694	51345	22532
695	51423	22460
696	51508	22391
697	51585	22319
698	51670	22250
699	51747	22177
700	51819	22102
701	51917	22038
702	51983	21961
703	52083	21898
704	52151	21822
705	52234	21752
706	52336	21689
707	52471	21640
708	52551	21569
709	52630	21497
710	52715	21427
711	52792	21354
712	52878	21284
713	52940	21205
714	53030	21138
715	53104	21063
716	53185	20992
717	53255	20916
718	53343	20847
719	53452	20787
720	53535	20716
721	53617	20644
722	53695	20572
723	53784	20503
724	53858	20429
725	53943	20358
726	54015	20283
727	54111	20217
728	54176	20139
729	54265	20070
730	54345	19998
731	54446	19934
732	54548	19869
733	54622	19795
734	54717	19728
735	54789	19652
736	54889	19587
737	54966	19514
738	55047	19441
739	55115	19364
740	55212	19298
741	55293	19226
742	55368	19151
743	55446	19078
744	55562	19018
745	55642	18945
746	55714	18869
747	55815	18804
748	55886	18728
749	55982	18660
750	56053	18585
751	56137	18513
752	56205	18436
753	56280	18361
754	56372	18293
755	56449	18219
756	56579	18162
757	56646	18085
758	56739	18016
759	56807	17939
760	56889	17866
761	56961	17791
762	57050	17720
763	57120	17644
764	57203	17572
765	57281	17498
766	57352	17422
767	57448	17354
768	57511	17275
769	57644	17218
770	57733	17147
771	57822	17077
772	57894	17001
773	57986	16931
774	58056	16854
775	58143	16783
776	58225	16710
777	58303	16636
778	58390	16565
779	58462	16489
780	58543	16416
781	58608	16338
782	58756	16283
783	58835	16209
784	58919	16137
785	58989	16060
786	59072	15987
787	59147	15912
788	59235	15841
789	59335	15772
790	59419	15699
791	59496	15625
792	59578	15551
793	59644	15474
794	59772	15412
795	59846	15337
796	59932	15265
797	60008	15190
798	60098	15118
799	60170	15042
800	60242	14966
801	60335	14895
802	60413	14821
803	60507	14750
804	60584	14675
805	60669	14602
806	60734	14525
807	60861	14462
808	60926	14384
809	61011	14311
810	61097	14238
811	61178	14164
812	61269	14092
813	61349	14018
814	61432	13944
815	61507	13869
816	61587	13794
817	61659	13718
818	61743	13645
819	61860	13579
820	61933	13503
821	62008	13427
822	62099	13355
823	62181	13281
824	62265	13207
825	62347	13133
826	62426	13059
827	62509	12984
828	62589	12910
829	62674	12836
830	62750	12761
831	62840	12688
832	62959	12622
833	63046	12548
834	63126	12474
835	63224	12402
836	63289	12325
837	63368	12250
838	63447	12175
839	63519	12098
840	63600	12024
841	63677	11949
842	63763	11875
843	63835	11799
844	63969	11734
845	64065	11662
846	64158	11589
847	64244	11515
848	64327	11441
849	64413	11367
850	64499	11293
851	64579	11217
852	64663	11143
853	64749	11069
854	64817	10992
855	64908	10919
856	65052	10854
857	65154	10783
858	65221	10705
859	65292	10628
860	65377	10554
861	65458	10479
862	65545	10405
863	65617	10328
864	65705	10254
865	65772	10177
866	65863	10103
867	65941	10027
868	66025	9953
869	66150	9884
870	66236	9809
871	66322	9735
872	66399	9659
873	66485	9584
874	66557	9508
875	66640	9433
876	66704	9355
877	66780	9279
878	66848	9202
879	66942	9128
880	67007	9050
881	67089	8975
882	67225	8907
883	67303	8831
884	67378	8755
885	67445	8678
886	67530	8603
887	67618	8528
888	67712	8454
889	67776	8376
890	67869	8302
891	67941	8226
892	68028	8151
893	68100	8074
894	68226	8004
895	68301	7927
896	68379	7851
897	68457	7775
898	68539	7700
899	68615	7623
900	68703	7548
901	68799	7474
902	68880	7399
903	68974	7324
904	69054	7248
905	69150	7174
906	69275	7103
907	69366	7028
908	69424	6950
909	69500	6873
910	69596	6799
911	69665	6722
912	69755	6647
913	69822	6569
914	69907	6494
915	69988	6418
916	70068	6342
917	70143	6265
918	70229	6189
919	70395	6121
920	70481	6045
921	70566	5969
922	70649	5893
923	70743	5818
924	70824	5742
925	70912	5666
926	70983	5589
927	71069	5513
928	71158	5438
929	71244	5362
930	71320	5285
931	71456	5213
932	71543	5137
933	71621	5061
934	71701	4984
935	71777	4907
936	71878	4832
937	71950	4755
938	72033	4679
939	72105	4602
940	72199	4526
941	72279	4450
942	72355	4373
943	72493	4300
944	72571	4223
945	72657	4147
946	72725	4070
947	72809	3993
948	72888	3917
949	72986	3841
950	73070	3764
951	73164	3688
952	73232	3611
953	73320	3535
954	73396	3458
955	73465	3381
956	73601	3307
957	73693	3230
958	73768	3153
959	73838	3076
960	73928	3000
961	73993	2922
962	74081	2846
963	74148	2769
964	74248	2692
965	74318	2615
966	74397	2538
967	74475	2461
968	74605	2386
969	74682	2309
970	74757	2232
971	74838	2155
972	74916	2078
973	75002	2002
974	75078	1925
975	75156	1848
976	75232	1771
977	75308	1694
978	75398	1617
979	75483	1540
980	75559	1463
981	75720	1387
982	75811	1311
983	75878	1233
984	75973	1156
985	76051	1079
986	76142	1002
987	76220	925
988	76301	848
989	76381	771
990	76464	694
991	76541	617
992	76613	540
993	76715	463
994	76841	386
995	76932	308
996	77013	231
997	77115	154
998	77193	77
999	77280	0
