iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
73	0.4973107424	0.757098664	0.709371151
74	0.4970785243	0.7576749718	0.7097132886
75	0.4966970201	0.7576403327	0.7101409607
76	0.4966235335	0.7574141922	0.7102093883
77	0.4964917537	0.7578008359	0.710688381
78	0.4964908917	0.7579503826	0.7107225948
79	0.4963303849	0.7577935541	0.7111673738
80	0.496151144	0.7580069346	0.7113213357
81	0.4958717672	0.7577370358	0.7118003285
82	0.4958240724	0.7575601318	0.711714794
83	0.4957828812	0.7577042003	0.7114924045
84	0.4954358606	0.75760389	0.7113042288
85	0.4951174089	0.7577096785	0.7117490078
86	0.4950442916	0.7580671275	0.7116805803
87	0.4949598229	0.7579540573	0.711714794
88	0.4946546228	0.7579504164	0.7119542904
89	0.4945418565	0.7578099887	0.7119371835
90	0.4941575281	0.7582823454	0.7123306419
91	0.494085975	0.7582823454	0.7123306419
92	0.4938683306	0.7581327987	0.7122964281
93	0.4938620021	0.7582914645	0.7123477487
94	0.4937950177	0.7581875133	0.7123990694
95	0.4935358106	0.7584774877	0.71245039
96	0.4934122502	0.7584592495	0.7124161763
97	0.4932846886	0.7585449624	0.7123306419
98	0.4932134775	0.7584172948	0.7120911455
99	0.4931853804	0.7587437456	0.7122108937
100	0.4929459193	0.7587437456	0.7122108937
101	0.492762555	0.7584720095	0.7121937868
102	0.4925088588	0.7594276454	0.7122622143
103	0.4922625379	0.7595461939	0.7124846038
104	0.4921243482	0.7597778127	0.7126727795
105	0.4920237018	0.7597376953	0.7128438484
106	0.4918413575	0.7599693141	0.7130320241
107	0.4918413573	0.7599693141	0.7130320241
108	0.4917936796	0.7598653629	0.7130833447
109	0.4912262306	0.7597741718	0.7129122759
110	0.4909474979	0.7595443904	0.7132201998
111	0.490622105	0.7596447006	0.7134083755
112	0.4905977694	0.7596447006	0.7134083755
113	0.4897688268	0.7603395569	0.7139729027
114	0.4896332101	0.7605346992	0.7140926509
115	0.4894424922	0.7602082484	0.7139729027
116	0.4892079188	0.7604581054	0.7141952922
117	0.488981663	0.7606933651	0.7141439715
118	0.4887264461	0.7602903204	0.7141268647
119	0.4887178067	0.7602812013	0.7141097578
120	0.4885631709	0.760598533	0.7142123991
121	0.4883473129	0.7606897242	0.7143834679
122	0.488286241	0.7606897242	0.7143834679
123	0.4880924991	0.7613553858	0.7144005748
124	0.4880824656	0.7613553858	0.7144005748
125	0.4877575155	0.7614192196	0.714520323
126	0.4876080048	0.7609760576	0.7146742849
127	0.4874756055	0.7614465769	0.7145716436
128	0.487355658	0.761528649	0.7147256056
129	0.4870824507	0.7617420295	0.7148795675
130	0.4868553384	0.7620283629	0.7151703846
131	0.4867099201	0.7618295797	0.7152901327
132	0.486538393	0.761762105	0.7154098809
133	0.4863855115	0.7618897727	0.7156493773
134	0.4862098053	0.7625919107	0.7157349117
135	0.4858160111	0.7624642431	0.7154954154
136	0.485574211	0.7626648636	0.7158717668
137	0.4855324051	0.7627104592	0.7159573012
138	0.4851967345	0.7629365998	0.7158888737
139	0.4847128072	0.7635402649	0.716282332
140	0.4845279835	0.7634399546	0.7160941563
141	0.4842702958	0.763467312	0.7161454769
142	0.4841138426	0.7634910284	0.716436294
143	0.4837421129	0.7636004578	0.7166415766
144	0.483422204	0.7639816233	0.7168639661
145	0.4832157614	0.7639725042	0.7168468592
146	0.4828744208	0.764729357	0.7170350349
147	0.482359871	0.7651287607	0.7172916382
148	0.4820965556	0.7653476194	0.7177022034
149	0.4818394438	0.7653476194	0.7177022034
150	0.4815680078	0.7653694986	0.7174969208
151	0.4813617226	0.7650029304	0.7175482414
152	0.4808358045	0.7651251198	0.7175311345
153	0.4807764254	0.7649664539	0.7174798139
154	0.480420903	0.7648315045	0.7177193103
155	0.4801851808	0.7653622168	0.7179759135
156	0.4799501247	0.7658382143	0.7181298755
157	0.4795631897	0.7658655716	0.7181811961
158	0.4792637919	0.7659148081	0.7180272342
159	0.4790150089	0.7656667885	0.7183009443
160	0.4787560661	0.7661209069	0.7186601889
161	0.478522125	0.7665057132	0.718643082
162	0.4784708392	0.7664327603	0.7185062269
163	0.478286442	0.7666005453	0.7185746544
164	0.4778403796	0.7665239515	0.7186772957
165	0.477263686	0.7666206208	0.7191049678
166	0.4769084775	0.7666662164	0.7191905023
167	0.4766460206	0.7666753355	0.7192076091
168	0.476341392	0.7670473819	0.7194128917
169	0.4763284928	0.7670473819	0.7194128917
170	0.476104532	0.7671330948	0.7193273573
171	0.4758501484	0.7672735225	0.7193444642
172	0.4755887827	0.7672826416	0.7193615711
173	0.4755099398	0.7674413074	0.7194128917
174	0.4750468278	0.7674832621	0.7197379225
175	0.4750220536	0.7676419279	0.7197892432
176	0.4747988665	0.7676328088	0.7197721363
177	0.4746102541	0.7679410214	0.7198576707
178	0.474361785	0.7683003078	0.7202853428
179	0.4741052965	0.7686814733	0.7205077323
180	0.4738187066	0.7688547364	0.7208327631
181	0.473420323	0.7693362122	0.7212433283
182	0.4731597735	0.769055357	0.7212091145
183	0.4729576186	0.7691830246	0.7214486109
184	0.4726472453	0.7694456416	0.7214486109
185	0.4723607071	0.7697356159	0.7214999316
186	0.4722942139	0.7698213288	0.7214143972
187	0.4721317078	0.7699672347	0.7216881073
188	0.4718975378	0.7707514448	0.7219276037
189	0.4717627453	0.7704523513	0.7218591761
190	0.4712609466	0.7702079726	0.7218933899
191	0.4710856394	0.7705435425	0.722030245
192	0.471034408	0.7707842804	0.7222355276
193	0.4709221742	0.7706164954	0.7221671
194	0.4705755192	0.7706073763	0.7221499932
195	0.4703471779	0.7707168057	0.7223552758
196	0.4699760789	0.7711654458	0.7224579171
197	0.4697584441	0.7713058735	0.7224750239
198	0.4694475019	0.7711326103	0.7221499932
199	0.4692726786	0.771712559	0.7222526345
200	0.4692031613	0.7720116524	0.722321062
201	0.4691027418	0.7719842951	0.7222697413
202	0.4690275304	0.7722067947	0.7224408102
203	0.4689362775	0.7720298907	0.7223552758
204	0.4687549456	0.7720481289	0.7223894895
205	0.4685429245	0.7719842951	0.7222697413
206	0.4680617314	0.772294345	0.7228513754
207	0.4676601233	0.7726116767	0.7229540167
208	0.4672766188	0.7730147213	0.7229711236
209	0.4669044057	0.7731296289	0.7234330094
210	0.4667767781	0.7732974139	0.723501437
211	0.4666243694	0.7728214163	0.723347475
212	0.466306282	0.7730621542	0.7235527576
213	0.4662324213	0.7730347969	0.723501437
214	0.4659462335	0.7731351071	0.7236896127
215	0.4657693775	0.7730712733	0.7235698645
216	0.4656050888	0.7736293429	0.7238777884
217	0.4655659038	0.7738336043	0.7240146435
218	0.4654071124	0.7737296531	0.7240659641
219	0.4651870003	0.7737807269	0.7244081018
220	0.465080098	0.7739849884	0.7245449569
221	0.4647476123	0.7738810372	0.7245962775
222	0.4646119773	0.7741162969	0.7245449569
223	0.464402707	0.773862799	0.7245620638
224	0.4643287097	0.7738263225	0.7244936362
225	0.4640246516	0.7739849884	0.7245449569
226	0.4638137942	0.7744391068	0.7249042015
227	0.4637197484	0.7741454915	0.7250923772
228	0.4634136543	0.7749205825	0.7253147667
229	0.4633505007	0.7748932252	0.725263446
230	0.4631222638	0.7749661781	0.7254003011
231	0.4630112219	0.7750974866	0.7254003011
232	0.4628535361	0.7751977969	0.7255884768
233	0.4627062556	0.7755461268	0.7255029424
234	0.4626404638	0.7754512947	0.7255713699
235	0.4623221044	0.7758689367	0.7258621869
236	0.4620460572	0.7762501022	0.7260845764
237	0.461913881	0.7764999592	0.7263069659
238	0.4616004216	0.7764999592	0.7263069659
239	0.4612633173	0.7769905541	0.726734638
240	0.4610077022	0.7765783903	0.7267004243
241	0.4609787446	0.7766914606	0.7266662105
242	0.4608263414	0.776133391	0.7263582866
243	0.4606180969	0.7762920569	0.7264096072
244	0.460380205	0.7760969146	0.726289859
245	0.4601565916	0.7763686507	0.7263069659
246	0.4598830084	0.7765455548	0.7263925003
247	0.4598213412	0.7767133397	0.7264609279
248	0.4595910178	0.7770215523	0.7265464623
249	0.4594213981	0.7768993629	0.7265635692
250	0.4591828804	0.7769905541	0.726734638
251	0.458907081	0.777145579	0.727025455
252	0.458848361	0.7770051514	0.7270083482
253	0.4585205	0.7770142705	0.727025455
254	0.4582695159	0.7771236999	0.7272307376
255	0.4581588718	0.7769559149	0.7271623101
256	0.4580985814	0.7768428446	0.7271965239
257	0.4578115801	0.7771784146	0.727333379
258	0.4576407787	0.7772422484	0.7274531271
259	0.4574878152	0.7775559392	0.7277952648
260	0.4574025533	0.7780811732	0.7277952648
261	0.4572970109	0.778239839	0.7278465855
262	0.4569866696	0.7787796703	0.7281202956
263	0.456930929	0.7789656935	0.7282229369
264	0.4567755715	0.778920098	0.7281374025
265	0.4564973691	0.7784404595	0.7282229369
266	0.4563753013	0.779252027	0.7285137539
267	0.4561135123	0.7794964058	0.7284795402
268	0.4559875934	0.7794380502	0.7286163952
269	0.4557820668	0.7799049286	0.7287532503
270	0.4555490873	0.7800325962	0.7289927467
271	0.4552240725	0.7800781918	0.7290782811
272	0.4549280247	0.780251455	0.7294033119
273	0.4547882229	0.7807365716	0.7295743807
274	0.4546288962	0.7805870249	0.729540167
275	0.4544585089	0.7805560266	0.7297283427
276	0.4543585654	0.7810411433	0.7298994115
277	0.4541154502	0.7808113619	0.7302073354
278	0.454074619	0.7810065042	0.7303270836
279	0.4540201104	0.7809700277	0.7302586561
280	0.4538422339	0.7812654803	0.73056658
281	0.4537380701	0.7813749096	0.7307718626
282	0.4535248289	0.7815153373	0.7307889695
283	0.4533942062	0.7820770477	0.730857397
284	0.4533167817	0.7821317624	0.7309600383
285	0.4532435242	0.7821955962	0.7310797865
286	0.4530628695	0.7824764514	0.7311140003
287	0.452896586	0.7820916451	0.7311311072
288	0.4528247041	0.7818691454	0.7309600383
289	0.4525349196	0.7818253872	0.7313706035
290	0.4523189271	0.7820022912	0.7314561379
291	0.4522832902	0.7820114103	0.7314732448
292	0.4520551531	0.7820843633	0.7316100999
293	0.4518220592	0.7822831465	0.7314903517
294	0.4517747748	0.7824418123	0.7315416724
295	0.4516269211	0.7821117206	0.7316614206
296	0.4514617169	0.7821937926	0.7318153825
297	0.4512455906	0.7830053601	0.7321061995
298	0.4510136987	0.7829470045	0.7322430546
299	0.4507534281	0.7831202677	0.7325680854
300	0.4505674096	0.7835689079	0.7326707267
301	0.4505075954	0.7834284803	0.7326536198
302	0.4503554215	0.7834193612	0.7326365129
303	0.4501626189	0.7835105523	0.7328075818
304	0.4499478378	0.7837148137	0.7329444368
305	0.4499123884	0.7839464325	0.7331326126
306	0.4497851422	0.7838060049	0.7331155057
307	0.4496656031	0.7843950727	0.7332352539
308	0.4495093484	0.7845537385	0.7332865745
309	0.4493322531	0.7843002406	0.7333036814
310	0.4492566744	0.7839920281	0.733218147
311	0.4491301266	0.7838060049	0.7331155057
312	0.4490861891	0.7838516004	0.7332010401
313	0.448836668	0.7840376236	0.7333036814
314	0.448381075	0.7843731935	0.7334405365
315	0.4482713782	0.7843184789	0.7333378952
316	0.4482176311	0.7844953829	0.7334234296
317	0.4477779543	0.7850552898	0.7342274531
318	0.44769374	0.7845792923	0.7340734912
319	0.4474627779	0.7849458605	0.7340221705
320	0.4472347113	0.7851227645	0.7341077049
321	0.4471564835	0.7856662368	0.7341419187
322	0.4469784522	0.7857209514	0.73424456
323	0.4468747892	0.7856261194	0.7343129875
324	0.4468239529	0.7856534767	0.7343643082
325	0.4467033699	0.7862206654	0.734689339
326	0.4466226561	0.786361093	0.7347064459
327	0.4463718211	0.7863793313	0.7347406596
328	0.4458849291	0.7867823759	0.7347577665
329	0.4458287028	0.7869410417	0.7348090872
330	0.4455736107	0.7875483478	0.7349630491
331	0.445255998	0.7878802768	0.7353394006
332	0.445037825	0.7880663	0.7354420419
333	0.4448872042	0.7881520129	0.7353565075
334	0.4448329755	0.7881064173	0.735270973
335	0.4446817444	0.7882067276	0.7354591488
336	0.4444701062	0.7885331784	0.7355788969
337	0.4444402555	0.788578774	0.7356644314
338	0.4442146546	0.7886334887	0.7357670727
339	0.4440070632	0.7887155607	0.7359210346
340	0.4439476914	0.7889289412	0.7360749966
341	0.4437009429	0.7889562986	0.7361263172
342	0.4435243649	0.7891423218	0.7362289585
343	0.4432732401	0.7889435386	0.7363487067
344	0.4432203638	0.7890256106	0.7365026687
345	0.4431367544	0.7889216594	0.7365539893
346	0.4429279827	0.7891715164	0.7367763788
347	0.4426989218	0.7893356605	0.7370843027
348	0.442637141	0.7899247283	0.7372040509
349	0.4425886178	0.7896438731	0.7371698371
350	0.4424928034	0.7893757779	0.7369132339
351	0.4424819142	0.7893757779	0.7369132339
352	0.4423028115	0.789729586	0.7370843027
353	0.4422563628	0.7893630178	0.7371356234
354	0.4421578364	0.7898663727	0.737340906
355	0.4418327889	0.7901071106	0.7375461886
356	0.4417264441	0.7902384191	0.7375461886
357	0.4414276465	0.7904299205	0.7379054331
358	0.4413513993	0.7905247526	0.7378370056
359	0.4412946632	0.7906287037	0.737785685
360	0.4411065684	0.7910554648	0.7380936089
361	0.4410373842	0.7913545582	0.7381620364
362	0.4408995176	0.7913417982	0.7383844259
363	0.4406385821	0.7914877041	0.738658136
364	0.4406114392	0.7918451531	0.7385897085
365	0.4404909893	0.791560657	0.7387949911
366	0.4402744404	0.7917649184	0.7389318462
367	0.4401678465	0.7915661352	0.7390515944
368	0.4398535227	0.7921059665	0.7393253045
369	0.4398317042	0.7921150857	0.7393424114
370	0.4397310769	0.7916263281	0.7394108389
371	0.4396260262	0.7920932065	0.739547694
372	0.4394698088	0.791784994	0.7394621596
373	0.4393823111	0.7919892554	0.7395990146
374	0.439095852	0.7925564441	0.7399240454
375	0.4389777204	0.7923029462	0.7399411523
376	0.4388533784	0.7927023499	0.7401977556
377	0.4384442624	0.7934883973	0.7409333516
378	0.4382804817	0.7934975164	0.7409504585
379	0.4382395806	0.7935522311	0.7410530998
380	0.4381330427	0.7935613502	0.7410702067
381	0.4380240228	0.7935394711	0.7412754893
382	0.438015584	0.7935394711	0.7412754893
383	0.4379493873	0.7935394711	0.7412754893
384	0.4378950401	0.7935759476	0.7413439168
385	0.4376944309	0.7938440428	0.74160052
386	0.4374652307	0.7939078766	0.7417202682
387	0.4371239377	0.7940938998	0.7418229095
388	0.4369002396	0.7944568271	0.7420110853
389	0.4367797639	0.7944568271	0.7420110853
390	0.4366596522	0.7948598717	0.7420281921
391	0.4366032688	0.7947376823	0.742045299
392	0.436450736	0.7945698973	0.7419768715
393	0.4364163287	0.794792397	0.7421479403
394	0.4359688501	0.7949328246	0.7421650472
395	0.4359278256	0.7949237055	0.7421479403
396	0.4359091998	0.7949328246	0.7421650472
397	0.4358618694	0.7949510628	0.742199261
398	0.4358240256	0.795055014	0.7421479403
399	0.4354864162	0.7954015403	0.7427980019
400	0.4353775621	0.7954015403	0.7427980019
401	0.4351224576	0.7957462294	0.7429519639
402	0.4348640063	0.7961729904	0.7432598878
403	0.434386788	0.7965906324	0.7435507048
404	0.4343514082	0.7966945836	0.7434993842
405	0.434188802	0.7962331834	0.7436191323
406	0.4339772115	0.7964192065	0.7437217736
407	0.4339102877	0.7965049195	0.7436362392
408	0.4337529805	0.7968313703	0.7437559874
409	0.4336629961	0.7968897259	0.7436191323
410	0.4336070849	0.7967675365	0.7436362392
411	0.4335487911	0.7966635853	0.7436875599
412	0.433422266	0.7968313703	0.7437559874
413	0.4331742246	0.7971213446	0.7438073081
414	0.4329831203	0.7969717979	0.7437730943
415	0.432680129	0.797411319	0.7438586287
416	0.4324835747	0.797506151	0.7437902012
417	0.4323479195	0.7975608657	0.7438928425
418	0.4323206044	0.7975608657	0.7438928425
419	0.4321630888	0.797756008	0.7440125907
420	0.4321003758	0.7976520568	0.7440639113
421	0.4319732295	0.7976885333	0.7441323389
422	0.4318259282	0.797743248	0.7442349802
423	0.4318193731	0.797743248	0.7442349802
424	0.4316726017	0.7980696988	0.7443547283
425	0.4316667345	0.7980605797	0.7443376215
426	0.4316263417	0.7980514606	0.7443205146
427	0.4315646098	0.7984909816	0.744406049
428	0.4313234429	0.7985639346	0.7445429041
429	0.431177968	0.7985912919	0.7445942247
430	0.4311527582	0.7986551257	0.7447139729
431	0.4309436695	0.7989724574	0.7448166142
432	0.4305819146	0.7985475337	0.7450047899
433	0.4304734738	0.7986387248	0.7451758588
434	0.4303810098	0.79891958	0.7452100725
435	0.4301025567	0.7991603179	0.7454153551
436	0.4300973311	0.7991511988	0.7453982483
437	0.4298123598	0.7993153429	0.7457061722
438	0.4294327364	0.7993919367	0.7456035309
439	0.4293606772	0.7996053172	0.7457574928
440	0.429151734	0.8001542677	0.7460483098
441	0.4290935513	0.8001451485	0.746031203
442	0.4289149456	0.8000320783	0.7460654167
443	0.4287287953	0.799919008	0.7460996305
444	0.4286551672	0.7998551742	0.7459798823
445	0.4285653722	0.7999646036	0.7461851649
446	0.4283804674	0.8001105094	0.7464588751
447	0.4283744691	0.8001105094	0.7464588751
448	0.4283026624	0.8002326988	0.7464417682
449	0.4281009962	0.8004460793	0.7465957301
450	0.4280427988	0.8005317923	0.7465101957
451	0.4279094579	0.8007178154	0.746612837
452	0.4278434602	0.8006539816	0.7464930888
453	0.4276437557	0.8005828661	0.7468523334
454	0.4275954965	0.8006102234	0.746903654
455	0.4274264151	0.8004789149	0.746903654
456	0.4274209114	0.8004789149	0.746903654
457	0.4273989308	0.8004971531	0.7469378678
458	0.4273858365	0.800488034	0.7469207609
459	0.4273436915	0.800488034	0.7469207609
460	0.427295418	0.8005427487	0.7470234022
461	0.427114473	0.800380442	0.7472115779
462	0.4269468464	0.8003986802	0.7472457917
463	0.4267346191	0.8009111542	0.7474681812
464	0.4266108767	0.8009476306	0.7475366087
465	0.4265737435	0.8008619177	0.7476221432
466	0.4264674543	0.8007397283	0.74763925
467	0.4263329586	0.8011701303	0.7477076776
468	0.4262478031	0.8011610112	0.7476905707
469	0.4261630021	0.8011792494	0.7477247845
470	0.4258513155	0.8012923197	0.7476905707
471	0.4256216132	0.8015239384	0.7478787464
472	0.4255399534	0.8015877722	0.7479984946
473	0.4254855703	0.8016151296	0.7480498152
474	0.4254629017	0.8015786531	0.7479813877
475	0.4253663504	0.8014108682	0.7479129602
476	0.4252626228	0.801569534	0.7479642808
477	0.4248426567	0.8013525126	0.7480498152
478	0.4245156518	0.8015421767	0.7479129602
479	0.4244439923	0.8014291064	0.7479471739
480	0.4242393186	0.801388989	0.7481182428
481	0.4240299497	0.8011902058	0.748237991
482	0.4236183127	0.8017519163	0.7483064185
483	0.4234686263	0.8019379395	0.7484090598
484	0.4233159473	0.8020017733	0.748528808
485	0.4231489527	0.8021148436	0.7484945942
486	0.4229415199	0.8023464623	0.7486827699
487	0.4228107507	0.8021786774	0.7486143424
488	0.4227567054	0.802319105	0.7486314493
489	0.4227075247	0.8023464623	0.7486827699
490	0.4225883211	0.8023373432	0.7486656631
491	0.4224106452	0.8023464623	0.7486827699
492	0.4222470698	0.8025051282	0.7487340906
493	0.4220719584	0.8027002705	0.7488538388
494	0.422048509	0.802663794	0.7487854112
495	0.4219198724	0.8028862937	0.7489564801
496	0.4218593711	0.8028589363	0.7489051594
497	0.4216307331	0.8029227701	0.7490249076
498	0.4214672003	0.8029866039	0.7491446558
499	0.4212854011	0.8028461763	0.7491275489
500	0.4212099517	0.8027513443	0.7491959765
501	0.4210754155	0.8029592466	0.7490933352
502	0.4207913978	0.803413365	0.7494525797
503	0.4204281594	0.8037616949	0.7493670453
504	0.4204244109	0.8037616949	0.7493670453
505	0.4201526648	0.8043781201	0.7495381141
506	0.4199761295	0.8043744792	0.7497776105
507	0.4197825692	0.8041702178	0.7496407554
508	0.4195988773	0.8043744792	0.7497776105
509	0.4195284877	0.8043653601	0.7497605036
510	0.4194687443	0.8043106454	0.7496578623
511	0.4191709949	0.8044711486	0.7502052826
512	0.4190571237	0.8046170544	0.7504789927
513	0.4188300856	0.8052517178	0.7506842754
514	0.4186831919	0.8053702663	0.7509066648
515	0.4185652385	0.8054796956	0.7511119474
516	0.4184654836	0.8053575062	0.7511290543
517	0.4183936258	0.8053757445	0.7511632681
518	0.4182811528	0.8053082698	0.7512830163
519	0.4181299843	0.8055398885	0.751471192
520	0.4180873762	0.8055581268	0.7515054058
521	0.4178682023	0.8057405091	0.7518475435
522	0.4177500009	0.8056766753	0.7517277953
523	0.4177274511	0.8056766753	0.7517277953
524	0.4176326462	0.805826222	0.751762009
525	0.4175582489	0.8056493179	0.7516764746
526	0.4173427726	0.8058353411	0.7517791159
527	0.4172049733	0.8057040326	0.7517791159
528	0.4171612206	0.8057222708	0.7518133297
529	0.4170317427	0.8057405091	0.7518475435
530	0.4168789045	0.8057769855	0.751915971
531	0.4167598549	0.8058043429	0.7519672916
532	0.4166559551	0.8057861046	0.7519330779
533	0.4165429324	0.8059630087	0.7520186123
534	0.4164635888	0.8059958443	0.7523265362
535	0.4163406758	0.8060779163	0.7524804982
536	0.4162560007	0.8060870354	0.752497605
537	0.4161764981	0.8060779163	0.7524804982
538	0.4159747242	0.8061691075	0.752651567
539	0.4157091802	0.8067727726	0.7530450253
540	0.4156585057	0.8068183682	0.7531305597
541	0.4156392295	0.8068457255	0.7531818804
542	0.4156003384	0.8065557512	0.7531305597
543	0.4155249583	0.8065466321	0.7531134529
544	0.4154551374	0.8065557512	0.7531305597
545	0.4154438022	0.8065648703	0.7531476666
546	0.4153502376	0.8066469423	0.7533016286
547	0.415185957	0.8068639638	0.7532160942
548	0.415036402	0.806964274	0.7534042699
549	0.4148142175	0.8073053222	0.7537977282
550	0.4147400483	0.8073910351	0.7537121938
551	0.4147069227	0.8074001542	0.7537293007
552	0.4146358006	0.8074092733	0.7537464076
553	0.4144074374	0.8072323692	0.7536608731
554	0.4142449905	0.8070974198	0.7539003695
555	0.4139143344	0.8075697765	0.7542938278
556	0.413835517	0.8075333	0.7542254003
557	0.4138074407	0.8074968236	0.7541569728
558	0.4137745672	0.8074785853	0.754122759
559	0.4137192435	0.8074019915	0.7542254003
560	0.4134702198	0.8078196335	0.7545162173
561	0.4133625832	0.8078378717	0.7545504311
562	0.4131949173	0.8081643225	0.7546701793
563	0.4130962977	0.8081643225	0.7546701793
564	0.4129172062	0.8081661598	0.7551662789
565	0.4127404297	0.8080348513	0.7551662789
566	0.4126234175	0.8083339448	0.7552347064
567	0.4125234173	0.8085108489	0.7553202409
568	0.412382787	0.808519968	0.7553373477
569	0.4123348272	0.8085783236	0.7552004927
570	0.412314906	0.808437896	0.7551833858
571	0.4121840829	0.8084561342	0.7552175996
572	0.4119599349	0.8083339448	0.7552347064
573	0.4117636316	0.8084707315	0.7554913097
574	0.4117107166	0.8087607059	0.7555426304
575	0.4115196712	0.8089102526	0.7555768441
576	0.4115076347	0.8087880632	0.755593951
577	0.4114830808	0.8088154205	0.7556452717
578	0.4112593824	0.8088756135	0.7560045162
579	0.411188612	0.8090525175	0.7560900506
580	0.4111292375	0.8090798749	0.7561413713
581	0.411057469	0.8090981131	0.7561755851
582	0.4107467656	0.8094154448	0.7562782264
583	0.4107076495	0.8094154448	0.7562782264
584	0.4106071037	0.8094883977	0.7564150814
585	0.4104999552	0.8095704697	0.7565690434
586	0.4103533095	0.8095212333	0.7567230053
587	0.4101913498	0.8097254947	0.7568598604
588	0.410084295	0.809575948	0.7568256466
589	0.4100284564	0.8095668289	0.7568085398
590	0.4099243294	0.8093899248	0.7567230053
591	0.4097949596	0.8095212333	0.7567230053
592	0.4096283896	0.809575948	0.7568256466
593	0.4094893088	0.809563188	0.7570480361
594	0.4093419974	0.8096944965	0.7570480361
595	0.4092191731	0.8100847811	0.7572875325
596	0.4090492586	0.8102762825	0.7576467771
597	0.4090390016	0.8103127589	0.7577152046
598	0.4088865177	0.8101905696	0.7577323115
599	0.4087105793	0.8102544034	0.7578520597
600	0.4084770229	0.8103547136	0.7580402354
601	0.4084141173	0.8103729518	0.7580744492
602	0.4083252882	0.8102507625	0.758091556
603	0.4082973589	0.8102416433	0.7580744492
604	0.4081751646	0.8102288833	0.7582968386
605	0.4081221194	0.8102471216	0.7583310524
606	0.408053429	0.8103109554	0.7584508006
607	0.4080353481	0.810188766	0.7584679075
608	0.407892289	0.8104295039	0.7586731901
609	0.4078231522	0.8104842186	0.7587758314
610	0.4076852244	0.8100355784	0.7586731901
611	0.4076225658	0.8101851251	0.7587074039
612	0.4075747222	0.8103346718	0.7587416176
